"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Gradle", "Batch", "XML", "Java Properties", "Java", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.component.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 47
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\app.routes.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\bottom-sheet\bottom-sheet.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 4, 88
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\bottom-sheet\bottom-sheet.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 62
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\copy-button\copy-button.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 63
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\overflow-menu\overflow-menu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\components\overflow-menu\overflow-menu.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\login\login.page.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 47
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 4, 14, 279
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\main\main.page.ts", "TypeScript", 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 47, 440
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\register\register.page.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 66
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\api.service.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 66
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\deeplinks.service.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\encryption.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 49
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\app\services\secure-auth.service.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 70
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\assets\shapes.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 17
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 21, 6, 38
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 1, 8, 27
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\main.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\polyfills.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 56
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\test.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\theme\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\src\zone-flags.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 18802, 930, 29, 37, 116, 41, 297, 9, 27, 125, 325, 217, 288, 21243
