Date : 2025-05-04 23:17:36
Directory : c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith
Total : 306 files,  204434 codes, 10046 comments, 1853 blanks, all 216333 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-7IZRYL2Z.js                                | JavaScript         |        262 |          2 |          2 |        266 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-7Q5HCUSL.js                                | JavaScript         |         61 |          9 |          2 |         72 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-ACUVEYEP.js                                | JavaScript         |          6 |          9 |          2 |         17 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-BHD6IEDV.js                                | JavaScript         |        495 |         15 |          3 |        513 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-BON5ZH5T.js                                | JavaScript         |      3,542 |         48 |          9 |      3,599 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-C2L663S3.js                                | JavaScript         |        495 |          9 |          3 |        507 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-EUT5B6DW.js                                | JavaScript         |         11 |          9 |          2 |         22 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-G6A6GINZ.js                                | JavaScript         |         34 |         13 |          3 |         50 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-MDHHUEAI.js                                | JavaScript         |      4,609 |        586 |          3 |      5,198 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-MVHGQY76.js                                | JavaScript         |      5,417 |        631 |          4 |      6,052 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-NWEONTVA.js                                | JavaScript         |      2,730 |         51 |          8 |      2,789 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-ONSSRIFQ.js                                | JavaScript         |      2,156 |        424 |          3 |      2,583 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-P26KDW74.js                                | JavaScript         |      3,461 |        541 |         10 |      4,012 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-PA54HIIX.js                                | JavaScript         |      4,686 |      2,220 |         41 |      6,947 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-PCBNBIXR.js                                | JavaScript         |         40 |          9 |          3 |         52 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-QFRJGEGH.js                                | JavaScript         |         40 |          9 |          3 |         52 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-S73DE2HG.js                                | JavaScript         |         47 |         15 |          4 |         66 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-T7NLFTSM.js                                | JavaScript         |         96 |          9 |          3 |        108 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-WG6K4H5K.js                                | JavaScript         |        226 |          9 |          2 |        237 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-X7CDSMF5.js                                | JavaScript         |      4,935 |        222 |        223 |      5,380 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-XPASXRHC.js                                | JavaScript         |         87 |          9 |          3 |         99 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-YCLS245N.js                                | JavaScript         |     25,325 |      1,871 |         23 |     27,219 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-ZVATTXSA.js                                | JavaScript         |         65 |          0 |          2 |         67 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\core-js-UR6QH4NU.js                              | JavaScript         |      4,073 |          7 |          1 |      4,081 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\dom-3FHNNQ6P.js                                  | JavaScript         |        754 |         26 |          1 |        781 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\focus-visible-RAFDA6YZ.js                        | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\hardware-back-button-WOE2PYIO.js                 | JavaScript         |         17 |          0 |          1 |         18 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\index3-VXTLLDIH.js                               | JavaScript         |          9 |          0 |          1 |         10 |
