"filename", "language", "SCSS", "JSON", "TypeScript", "JavaScript", "XML", "Gradle", "HTML", "CSS", "Database", "comment", "blank", "total"
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-G6A6GINZ.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 13, 3, 50
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-MDHHUEAI.js", "JavaScript", 0, 0, 0, 4609, 0, 0, 0, 0, 0, 586, 3, 5198
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-MVHGQY76.js", "JavaScript", 0, 0, 0, 5417, 0, 0, 0, 0, 0, 631, 4, 6052
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-NWEONTVA.js", "JavaScript", 0, 0, 0, 2730, 0, 0, 0, 0, 0, 51, 8, 2789
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-ONSSRIFQ.js", "JavaScript", 0, 0, 0, 2156, 0, 0, 0, 0, 0, 424, 3, 2583
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-P26KDW74.js", "JavaScript", 0, 0, 0, 3461, 0, 0, 0, 0, 0, 541, 10, 4012
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-PA54HIIX.js", "JavaScript", 0, 0, 0, 4686, 0, 0, 0, 0, 0, 2220, 41, 6947
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-PCBNBIXR.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 9, 3, 52
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-QFRJGEGH.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 9, 3, 52
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-S73DE2HG.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 15, 4, 66
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-T7NLFTSM.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 9, 3, 108
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-WG6K4H5K.js", "JavaScript", 0, 0, 0, 226, 0, 0, 0, 0, 0, 9, 2, 237
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-X7CDSMF5.js", "JavaScript", 0, 0, 0, 4935, 0, 0, 0, 0, 0, 222, 223, 5380
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-XPASXRHC.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 9, 3, 99
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-YCLS245N.js", "JavaScript", 0, 0, 0, 25325, 0, 0, 0, 0, 0, 1871, 23, 27219
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\chunk-ZVATTXSA.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 67
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\core-js-UR6QH4NU.js", "JavaScript", 0, 0, 0, 4073, 0, 0, 0, 0, 0, 7, 1, 4081
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\dom-3FHNNQ6P.js", "JavaScript", 0, 0, 0, 754, 0, 0, 0, 0, 0, 26, 1, 781
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\focus-visible-RAFDA6YZ.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\hardware-back-button-WOE2PYIO.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\index3-VXTLLDIH.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\index9-WZXW7LLP.js", "JavaScript", 0, 0, 0, 141, 0, 0, 0, 0, 0, 9, 2, 152
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\input-shims-FRI666MZ.js", "JavaScript", 0, 0, 0, 352, 0, 0, 0, 0, 0, 9, 2, 363
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ionicons.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 0, 0, 3, 3, 121
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ionicons_icons.js", "JavaScript", 0, 0, 0, 2715, 0, 0, 0, 0, 0, 2, 2, 2719
"c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\ios.transition-5fe4d6c8-SBOZBRVN.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
